Date,Schedule,Event,Start,End
"2015, 10, 24",Check-in,,"07, 30, 00","13, 15, 00"
"2015, 10, 24",Welcome,Breakfast,"08, 00, 00","08, 30, 00"
"2015, 10, 24",Speaker,Keynote - Andrew Johnston,"08, 30, 00","09, 45, 00"
"2015, 10, 24",Speaker,Break,"09, 45, 00","10, 00, 00"
"2015, 10, 24",Session 4,8 Session,"10, 00, 00","11, 30, 00"
"2015, 10, 24",Session 4,Break,"11, 30, 00","11, 45, 00"
"2015, 10, 24",Lunch,Lunch,"11, 45, 00","13, 00, 00"
"2015, 10, 24",Lunch,Awards,"11, 45, 00","13, 00, 00"
"2015, 10, 24",Lunch,Break,"13, 00, 00","13, 15, 00"
"2015, 10, 24",Session 5,8 Session,"13, 15, 00","14, 45, 00"