year,image_path,theme,start_date,end_date,location,address,city_state_zipcode,phone,website,reservations,end_offer,offer1,offer2,price1,price2,lunch-only,membership,registration,registration_mail,program_path,era
2016,,Empowering Learners through Partnerships and Innovation,2016-10-13,2016-10-14,Westin Westminster,10600 Westminster Blvd,"Westminster, CO 80020",(303) 410-5000,http://www.westindenverboulder.com/,https://www.starwoodmeeting.com/events/start.action?id=1511022308&key=300336A7,2016-09-19,$100.00,$150.00,$150.00,$200.00,$30.00,TBD,https://www.mkt.com/caepa,"1332 Marigold Ct. Lafayette, CO 80026",,CAEPA
2015,,"Moving Forward with Innovation, Opportunity, and Action",2015-10-23,2015-10-24,Westin Westminster,10600 Westminster Blvd,"Westminster, CO 80020",(303) 410-5000,http://www.westindenverboulder.com/,,2015-10-01,$75.00,$100.00,$125.00,$175.00,$30.00,,https://www.mkt.com/caepa,"1332 Marigold Ct. Lafayette, CO 80026",http://goo.gl/oO8mtT,CAEPA
2013,,Adult Education: Imagine the Possibilities,2013-10-18,2013-10-09,The Antlers Hilton,4 S Cascade Ave,"Colorado Springs, CO 80903",(719) 955-5600,http://antlers.com/,,,,,,,,,,,,CAEPA
2012,,Gearing Up for Change,2012-10-12,2012-10-13,Omni Interlocken Resort,500 Interlocken Blvd,"Broomfield, CO 80021",(303) 438-6600,https://www.omnihotels.com/hotels/denver-interlocken,,,,,,,,,,,,CAEPA
2011,,Maximizing Resources in Challenging Times,2011-10-21,2011-10-22,Marriott Denver Tech Center,4900 S Syracuse St,"Denver, CO 80237",(303) 779-1100,https://www.denvermarriotttechcenter.com/,,,,,$115.00,$195.00,,,,,,CAEPA
2010,,The Power of Adult Learning,2010-10-22,2010-10-23,Marriott Denver Tech Center,4900 S Syracuse St,"Denver, CO 80237",(303) 779-1100,https://www.denvermarriotttechcenter.com/,,,,,,$195.00,,,,,,CAEPA
2009,,Adult Education: Partnering for a Better Colorado,2009-08-05,2009-08-07,Beaver Run Resort,620 Village Rd,"Breckenridge, CO 80424",(970) 453-6000,http://www.beaverrun.com/,,,,,,$180.00,,,,,,CAEPA
2008,,Sharing Success: Adult Learners in Transition,2008-03-08,2008-03-10,Sheraton Denver West,360 Union Blvd,"Lakewood, CO 80228",(303) 987-2000,http://www.sheratondenverwest.com/,,,,,,,,,,,,CAEPA
2007,,Engaging Diverse Learners,2007-02-07,2007-02-09,Omni Interlocken Resort,500 Interlocken Blvd,"Broomfield, CO 80021",(303) 438-6600,https://www.omnihotels.com/hotels/denver-interlocken,,,,,,,,,,,,CAEPA
2006,,Leading Learners to a Higher Level,2006-04-26,2006-04-29,Adams Mark Hotel,1550 Court Place,"Denver, CO 80202",,,,,,,,$245.00,,,,,,CAEPA
2001,,Helping Adults with Learning Disabilities,2001-11-03,2001-11-03,Tivoli Student Union,900 Auraria Pkwy,"Denver, CO 80204",,,,,,,,Free,,,,,,CAEPA
2001,,HAL (Helping Adults Learn) 2001: A Mind Odyssey,2001-04-20,2001-04-20,Red Rock Community College,13300 W 6th Ave,"Lakewood, CO 80228",(303) 914-6600,http://www.rrcc.edu/,,,,,,$95.00,,,,,,CAEPA
1999,,Prospecting for Gold in the 21st Century,1999-10-28,1999-10-29,Garden of the Gods,1805 N 30th St,"Colorado Springs, CO 80904",(719) 634-6666,http://gardenofgods.com/,,,,,,,,,,,,CAEPA
1998,,"The Rendezvous at Beaver Creek: A Renewal of Mind, Body, and Spirit",1998-05-02,1998-05-02,,,"Beaver Creek, CO 81620",,http://www.beavercreek.com/,,,,,,,,,,,,CAEPA
1996,,Learning and Growing Together,1996-10-18,1996-10-19,Regency Hotel,3900 Elati St,"Denver, CO 80216",,,,,,,,,,,,,,CACAE
1995,,New Pathways to Program Success,1995-09-21,1995-09-22,Tower Executive,1406 Curtis Street,"Denver, CO 80203",(303) 571-0301,http://thecurtis.com/,,,,,,$90.00,,$15.00,,,,CACAE
1994,,Building Learning Communities,1994-09-29,1994-09-30,Ramada Inn,,"Denver, CO",,,,,,,,$80.00,,$15.00,,,,CACAE
1993,,Proactive Skills in the 90's for Adult and Community Educators,1993-10-28,1993-10-29,Embassy Suites by Hilton Colorado Springs,7290 Commerce Center Dr,"Colorado Springs, CO 80919",(719) 599-9100,http://embassysuites3.hilton.com/en/hotels/colorado/embassy-suites-by-hilton-colorado-springs-COSCCES/index.html,,,,,,$80.00,,$15.00,,,,CACAE
1992,,"Colorado Collaborates, Designing Solutions for the Future",1992-10-01,1992-10-02,Embassy Suites by Hilton Colorado Springs,7290 Commerce Center Dr,"Colorado Springs, CO 80919",(719) 599-9100,http://embassysuites3.hilton.com/en/hotels/colorado/embassy-suites-by-hilton-colorado-springs-COSCCES/index.html,,,,,,$85.00,,$15.00,,,,CACAE
1991,,Professional Power from the Inside Out,1991-10-02,1991-10-04,Hyatt Regency Denver Tech Center,7800 E Tufts Ave,"Denver, CO 80237",(303) 779-1234,http://denvertechcenter.regency.hyatt.com/en/hotel/home.html,,,,,,$95.00,,,,,,CACAE
1990,,Winning Strategies for Adult in the 1990's,1990-09-20,1990-09-22,Fort Collins Marriott,50 E Horsetooth Rd,"Fort Collins, CO 80525",(970) 226-5200,http://www.marriott.com/hotels/travel/ftcco-fort-collins-marriott/,,,,,,$70.00,,,,,,CACAE
1989,,Providing Leadership in the 1990's,1989-09-22,1989-09-23,Hyatt Regency Denver Tech Center,7800 E Tufts Ave,"Denver, CO 80237",(303) 779-1234,http://denvertechcenter.regency.hyatt.com/en/hotel/home.html,,,,,,$60.00,,$15.00,,,,CACAE
1988,,Colorado’s Future: A Learning Society,1988-10-06,1988-10-08,Red Lion Hotel,314 W Bijou St,"Colorado Springs, CO 80905",,,,,,,,$75.00,,$10.00,,,,CACAE
1987,,Ad-Venture Beyond Yourself,1987-09-25,1987-09-27,Iron Horse Resort,101 Iron Horse Way,"Winter Park, CO 80482",(970) 726-8851,,,,,,,$65.00,,$10.00,,,,CACAE
1986,,"Keys to Excellence, ’87 and Beyond",1986-09-25,1986-09-27,Fort Collins Marriott,350 E Horsetooth Rd,"Denver, CO",(970) 226-5200,http://www.marriott.com/hotels/travel/ftcco-fort-collins-marriott/,,,,,,$75.00,,$10.00,,,,CACAE
1985,,Partners for Lifelong Learning,1985-10-10,1985-10-12,Regency Hotel,3900 Elati St,"Denver, CO 80216",,,,,,,,,,,,,,CACAE
1984,,The Winning Edge,1984-10-18,1984-10-19,Beaver Run Resort & Conference Center,620 Village Rd,"Breckenridge, CO 80424",(970) 453-6000,http://www.beaverrun.com/,,,,,,$65.00,,$10.00,,,,CACAE
1983,,Out of Many - One,1983-10-20,1983-10-22,The Westin Riverfront Resort & Spa at Beaver Creek Mountain,126 Riverfront Ln,"Avon, CO 81620",(970) 790-6000,http://www.westinriverfrontbeavercreek.com/,,,,,,$55.00,,$10.00,,,,CACAE
1982,,Joining Hands for the Future - Networking for Survival,1982-09-29,1982-09-29,Sheraton Inn,,"Colorado Springs, CO",,,,,,,,,,,,,,CACAE
1981,,Untitled,1981-10-01,1981-10-02,Falcon Inn,1865 Woodmoor Dr,"Monument, CO 80132",,,,,,,,,,$10.00,,,,CACAE
1980,,Steps to Tomorrow,1980-10-02,1980-10-03,Falcon Inn,1865 Woodmoor Dr,"Monument, CO 80132",,,,,,,,$40.00,,$0.00,,,,CACAE
1976,,Lifelong Learning - Come and See,1976-10-21,1976-10-22,Adult Education Center in Longmont,,"Longmont, CO",,,,,,,,$16.00,,$5.00,,,,CACAE
1975,,"CACAE Past Imperfect, Present Indicative, Future Tense",1975-10-16,1975-10-17,Ramada Inn,,"Denver, CO",,,,,,,,$35.00,,,,,,CACAE
1974,,Continuing Education - The Future,1974-10-10,1974-10-11,Colorado University,,"Boulder, CO",,http://www.colorado.edu/,,,,,,$25.00,,,,,,CACAE
1972,,Seminar on Critical Consideration for Adult Educators in Colorado Communities,1972-11-30,1972-11-30,Colorado State University,,"Fort Collins, CO 80523",,http://www.colostate.edu/,,,,,,,,,,,,CACAE
1971,,Continuing Ed for the Total Community,1971,1971,,,,,,,,,,,,,,,,,CACAE
1969,,An Umbrella Organization for Adult Ed in Colorado,1969-05-10,1969-05-10,Fort Collins,,"Fort Collins, CO",,,,,,,,,,,,,,CACAE
1968,,CAPSAE / CCAE,1968-05-04,1968-05-04,Colorado University,,"Boulder, CO",,,,,,,,,,,,,,CAPSAE / CCAE
1967,,CAPSAE / CCAE,1967-10-26,1967-10-27,Colorado Department of Education,,"Denver, CO",,,,,,,,,,$2.00,,,,CAPSAE / CCAE